x y z ShearFailure TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
1574.91 124.978 765.383 0 1 0 0 1.12601e+06 24.5807 52677.8 3.42154 1.11926e+06 1.12601e+06 ZonesAtSurface
1624.95 124.98 790.353 0 3 0 0 1.37792e+06 24.2688 114983 3.16233 1.53687e+06 1.37792e+06 ZonesAtSurface
1674.95 124.989 765.329 0 0 2 1 1.49509e+06 36.2078 100231 2.29043 2.98034e+06 1.49509e+06 ZonesAtSurface
1724.95 124.998 690.325 2 0 1 3 992057 25.7065 87641 1.10694 3.45416e+06 992057 ZonesAtSurface
1774.99 125.001 715.297 10 0 1 3 502932 30.5098 50853 1.09115 2.34557e+06 502932 ZonesAtSurface
1825.02 125.005 740.266 2 6 1 3 1.27e+06 41.1756 108547 1.31013 4.61498e+06 1.27e+06 ZonesAtSurface
1875 125.002 865.225 0 7 2 1 1.16785e+06 43.7089 125407 1.96205 2.80017e+06 1.16785e+06 ZonesAtSurface
1924.96 124.999 940.235 0 0 0 0 865085 35.8436 62419.8 2.79969 1.41374e+06 865085 ZonesAtSurface
1974.94 124.994 965.263 0 8 0 0 898197 16.8533 51268.2 2.45907 1.00042e+06 898197 ZonesAtSurface
2025.17 125.002 727.876 10 0 1 4 1.39541e+06 34.663 95606.4 1.06227 5.94424e+06 1.39541e+06 ZonesAtSurface
2075.38 125.003 528.09 6 0 1 6 587618 34.9258 100184 1.04033 3.07635e+06 587618 ZonesAtSurface
2125.47 124.998 428.231 6 0 1 6 1.39578e+06 33.55 72546.8 1.06211 5.96467e+06 1.39578e+06 ZonesAtSurface
2175.51 124.993 328.353 6 0 1 6 1.44803e+06 41.6361 110700 1.09026 7.03371e+06 1.44803e+06 ZonesAtSurface
2225.49 124.992 228.448 6 0 1 6 1.11561e+06 31.8016 79183.1 1.04443 6.7395e+06 1.11561e+06 ZonesAtSurface
2275.42 124.99 128.508 6 0 1 6 1.24132e+06 17.5313 70149 1.02481 6.05474e+06 1.24132e+06 ZonesAtSurface
2325.33 124.987 28.5323 0 0 1 6 809189 40.6205 55362.1 2.8731 7.8955e+06 809189 ZonesAtSurface
2375.27 124.987 -21.4632 0 0 1 5 1.18997e+06 38.2766 56371.5 2.84011 8.23184e+06 1.18997e+06 ZonesAtSurface
2425.25 124.986 -21.459 20 0 1 3 666313 35.5285 111044 1.58907 8.75896e+06 666313 ZonesAtSurface
2475.18 124.993 -21.4285 31 0 1 1 548182 22.0888 107084 2.38317 3.07059e+06 548182 ZonesAtSurface
2524.98 125 -1.34795 65 17 0 0 847389 42.2149 51752.2 2.80781 2.05249e+06 847389 ZonesAtSurface
2574.91 124.994 -11.3976 42 0 1 1 913108 34.1114 83400.8 1.04545 7.08921e+06 913108 ZonesAtSurface
2624.78 124.991 28.6254 5 0 2 1 1.2365e+06 18.644 123842 1.03212 4.98211e+06 1.2365e+06 ZonesAtSurface
2674.76 124.99 18.609 0 0 1 2 842565 44.0726 58488 1.19965 1.2763e+07 842565 ZonesAtSurface
2724.6 124.988 108.619 0 0 2 1 1.1531e+06 26.0773 137979 1.35322 4.17266e+06 1.1531e+06 ZonesAtSurface
2774.52 124.986 198.603 0 0 0 0 507048 36.287 97584 1.63226 2.13494e+06 507048 ZonesAtSurface
2824.5 124.985 238.579 0 0 0 0 873183 42.6142 102230 1.51279 3.16996e+06 873183 ZonesAtSurface
2874.5 124.984 278.555 3 0 0 0 520312 38.2905 149168 1.60244 2.07595e+06 520312 ZonesAtSurface
2924.51 124.983 318.533 0 7 0 0 1.19473e+06 36.5886 139884 2.82973 1.68585e+06 1.19473e+06 ZonesAtSurface
2974.51 124.984 308.503 0 0 1 1 1.20945e+06 36.3172 81387.5 1.9883 3.46045e+06 1.20945e+06 ZonesAtSurface
3024.52 124.982 348.468 1 0 2 1 636847 40.6883 121602 1.78964 2.95969e+06 636847 ZonesAtSurface
3074.54 124.983 388.432 5 0 2 1 655992 30.2109 124092 1.43403 2.22354e+06 655992 ZonesAtSurface
3124.54 124.985 378.395 0 0 2 2 901535 22.9771 147878 1.16794 3.47497e+06 901535 ZonesAtSurface
3174.59 124.985 468.353 0 2 1 1 1.12064e+06 43.5964 91270.9 2.94374 2.28158e+06 1.12064e+06 ZonesAtSurface
3224.58 124.986 408.317 6 0 1 3 599201 42.9646 92232.5 1.51018 4.40793e+06 599201 ZonesAtSurface
